npi,provider_name,entity_type,specialty_code,tin,network_status,address_line1,city,state,license_state
5896534158,FICTIONAL_ALEX_LOPEZ_MD,1,207Q00000X,35-6084677,OUT_OF_NETWORK,8031 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_1,WV,WV
1743002267,FICTIONAL_SKYLAR_MILLER_MD,1,207RC0000X,76-7294586,TIER_2,8082 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_2,DE,DE
5212871193,FICTIONAL_TAYLOR_GONZALEZ_MD,1,282N00000X,49-9434833,TIER_1,2411 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_3,PA,PA
6330269476,FICTIONAL_SKYLAR_RODRIGUEZ_MD,1,2080P0203X,10-8457576,TIER_1,7054 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_4,WV,WV
1481722134,FICTIONAL_CASEY_HERNANDEZ_MD,1,207X00000X,91-7707533,IN_NETWORK,5900 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_5,WV,WV
0881684019,FICTIONAL_JOHNSON_MEDICAL_CENTER,2,282N00000X,16-7759694,IN_NETWORK,7971 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_6,DC,DC
3421560723,FICTIONAL_QUINN_DAVIS_MD,1,207RC0000X,13-6554635,TIER_2,1709 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_7,MD,MD
9439353852,FICTIONAL_CAMERON_WILSON_MD,1,282N00000X,23-7184956,TIER_2,2880 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_8,PA,PA
9375433205,FICTIONAL_ALEX_LOPEZ_MD,1,282N00000X,77-3403282,IN_NETWORK,4701 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_9,MD,MD
0303183020,FICTIONAL_SAGE_WILSON_MD,1,261Q00000X,24-4050038,TIER_2,7005 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_10,DC,DC
5712129969,FICTIONAL_TAYLOR_GONZALEZ_MD,1,282N00000X,98-1666209,OUT_OF_NETWORK,7361 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_11,PA,PA
4752797546,FICTIONAL_WILSON_MEDICAL_CENTER,2,207Q00000X,96-9781749,TIER_1,9191 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_12,WV,WV
3192821510,FICTIONAL_ALEX_GARCIA_MD,1,261Q00000X,34-2710106,OUT_OF_NETWORK,9790 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_13,VA,VA
1513648612,FICTIONAL_SAGE_MILLER_MD,1,2080P0203X,20-9766535,TIER_2,5159 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_14,DE,DE
3222984346,FICTIONAL_TAYLOR_HERNANDEZ_MD,1,207RC0000X,35-6263095,OUT_OF_NETWORK,5645 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_15,DE,DE
2186549418,FICTIONAL_TAYLOR_BROWN_MD,1,207RC0000X,62-8170929,IN_NETWORK,2387 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_16,NC,NC
8249544155,FICTIONAL_DREW_LOPEZ_MD,1,261Q00000X,39-6710152,TIER_2,1237 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_17,DE,DE
2676236799,FICTIONAL_DAVIS_MEDICAL_CENTER,2,207R00000X,45-7445370,IN_NETWORK,1510 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_18,WV,WV
9721317649,FICTIONAL_SAGE_WILLIAMS_MD,1,207X00000X,80-4003951,OUT_OF_NETWORK,9486 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_19,NC,NC
2995047968,FICTIONAL_JAMIE_DAVIS_MD,1,207RC0000X,63-4703841,IN_NETWORK,4112 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_20,WV,WV
3071914683,FICTIONAL_JAMIE_RODRIGUEZ_MD,1,207RC0000X,41-2484149,TIER_2,7684 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_21,PA,PA
3798728028,FICTIONAL_SKYLAR_MILLER_MD,1,207X00000X,82-5331627,TIER_2,7053 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_22,WV,WV
6372928096,FICTIONAL_SAGE_JONES_MD,1,207RC0000X,80-9637314,TIER_2,3175 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_23,MD,MD
6561802151,FICTIONAL_AVERY_WILSON_MD,1,207R00000X,36-6025492,IN_NETWORK,9044 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_24,VA,VA
8506824944,FICTIONAL_DREW_RODRIGUEZ_MD,1,207Q00000X,72-2249759,OUT_OF_NETWORK,5042 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_25,DE,DE
6859155643,FICTIONAL_AVERY_GARCIA_MD,1,207R00000X,38-8856920,IN_NETWORK,5316 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_26,WV,WV
1137347286,FICTIONAL_QUINN_HERNANDEZ_MD,1,282N00000X,23-4353041,IN_NETWORK,7917 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_27,DC,DC
7659749791,FICTIONAL_BROWN_MEDICAL_CENTER,2,207Q00000X,24-5783266,IN_NETWORK,1898 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_28,DC,DC
2165123235,FICTIONAL_TAYLOR_HERNANDEZ_MD,1,207Q00000X,78-8284983,TIER_2,5173 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_29,VA,VA
2542647658,FICTIONAL_SAGE_MILLER_MD,1,207Q00000X,75-4900069,OUT_OF_NETWORK,815 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_30,VA,VA
8318715413,FICTIONAL_SKYLAR_MARTINEZ_MD,1,207R00000X,45-2250209,TIER_2,3160 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_31,VA,VA
0949565226,FICTIONAL_CAMERON_WILSON_MD,1,207R00000X,89-5196740,OUT_OF_NETWORK,9314 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_32,VA,VA
3770339513,FICTIONAL_CASEY_WILLIAMS_MD,1,207X00000X,43-3108126,IN_NETWORK,7393 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_33,DC,DC
8767246290,FICTIONAL_CASEY_GARCIA_MD,1,207Q00000X,32-8987241,IN_NETWORK,8202 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_34,WV,WV
8341173853,FICTIONAL_JAMIE_LOPEZ_MD,1,207RC0000X,78-5217677,TIER_2,5531 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_35,WV,WV
8309486628,FICTIONAL_AVERY_GONZALEZ_MD,1,207RC0000X,85-5785201,IN_NETWORK,7380 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_36,DC,DC
2643014006,FICTIONAL_ALEX_HERNANDEZ_MD,1,207R00000X,42-7691812,TIER_1,6264 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_37,NC,NC
5616653502,FICTIONAL_AVERY_LOPEZ_MD,1,2084P0800X,11-8389383,IN_NETWORK,2030 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_38,VA,VA
5992678248,FICTIONAL_HERNANDEZ_MEDICAL_CENTER,2,207R00000X,83-8481301,TIER_1,1027 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_39,DE,DE
1158178628,FICTIONAL_JORDAN_GONZALEZ_MD,1,261Q00000X,47-9281596,IN_NETWORK,1712 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_0,VA,VA
4736318641,FICTIONAL_JAMIE_BROWN_MD,1,207RC0000X,79-9660083,TIER_1,6661 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_1,DE,DE
5514138069,FICTIONAL_JONES_MEDICAL_CENTER,2,207RC0000X,68-2213979,TIER_2,108 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_2,DC,DC
2481641928,FICTIONAL_CASEY_JOHNSON_MD,1,207X00000X,91-9286548,TIER_2,3803 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_3,PA,PA
2076680091,FICTIONAL_SKYLAR_DAVIS_MD,1,282N00000X,10-4598393,TIER_1,3790 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_4,DE,DE
9886698288,FICTIONAL_AVERY_MARTINEZ_MD,1,2084P0800X,21-8431872,TIER_2,5552 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_5,PA,PA
2085093674,FICTIONAL_TAYLOR_WILLIAMS_MD,1,207X00000X,16-5793909,OUT_OF_NETWORK,4030 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_6,MD,MD
6875907977,FICTIONAL_SAGE_WILLIAMS_MD,1,207R00000X,23-4784822,OUT_OF_NETWORK,400 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_7,DC,DC
2096908415,FICTIONAL_WILSON_MEDICAL_CENTER,2,207Q00000X,77-7492127,OUT_OF_NETWORK,6124 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_8,PA,PA
3170900062,FICTIONAL_QUINN_RODRIGUEZ_MD,1,207RC0000X,27-9718032,OUT_OF_NETWORK,6679 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_9,DC,DC
6421166458,FICTIONAL_MORGAN_MARTINEZ_MD,1,207X00000X,83-7556923,TIER_1,9046 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_10,MD,MD
4350730881,FICTIONAL_HAYDEN_WILLIAMS_MD,1,207R00000X,29-5279134,IN_NETWORK,5132 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_11,WV,WV
4847091939,FICTIONAL_GONZALEZ_MEDICAL_CENTER,2,2084P0800X,97-4644955,OUT_OF_NETWORK,4966 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_12,PA,PA
1925120119,FICTIONAL_HAYDEN_MILLER_MD,1,207X00000X,35-3280015,IN_NETWORK,5811 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_13,PA,PA
6928559981,FICTIONAL_RILEY_MILLER_MD,1,207Q00000X,81-1114676,TIER_1,1841 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_14,NC,NC
5559364042,FICTIONAL_WILLIAMS_MEDICAL_CENTER,2,2084P0800X,72-4152901,TIER_2,1543 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_15,DE,DE
1197572708,FICTIONAL_JORDAN_BROWN_MD,1,2080P0203X,67-1549400,TIER_1,7219 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_16,DE,DE
1708911890,FICTIONAL_RILEY_DAVIS_MD,1,261Q00000X,52-5133711,TIER_1,3754 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_17,MD,MD
0149915536,FICTIONAL_SKYLAR_GARCIA_MD,1,261Q00000X,82-5736259,TIER_2,7580 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_18,DE,DE
3787969229,FICTIONAL_AVERY_BROWN_MD,1,207Q00000X,13-1911666,OUT_OF_NETWORK,7429 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_19,NC,NC
9730697643,FICTIONAL_ALEX_MILLER_MD,1,207RC0000X,37-5029500,TIER_1,8002 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_20,WV,WV
2370601728,FICTIONAL_RILEY_GONZALEZ_MD,1,207R00000X,51-1071899,IN_NETWORK,4121 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_21,NC,NC
0434991218,FICTIONAL_CASEY_BROWN_MD,1,207Q00000X,86-1185684,IN_NETWORK,5347 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_22,NC,NC
5107634326,FICTIONAL_MORGAN_DAVIS_MD,1,2080P0203X,73-4372817,TIER_2,4744 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_23,VA,VA
9761949020,FICTIONAL_AVERY_MILLER_MD,1,261Q00000X,41-7062270,TIER_1,2000 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_24,DE,DE
2031391347,FICTIONAL_HERNANDEZ_MEDICAL_CENTER,2,207R00000X,54-8699890,TIER_1,1031 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_25,MD,MD
2241533605,FICTIONAL_DREW_GARCIA_MD,1,207R00000X,10-3570397,OUT_OF_NETWORK,7007 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_26,MD,MD
7650774657,FICTIONAL_CAMERON_DAVIS_MD,1,207X00000X,33-4425389,OUT_OF_NETWORK,9630 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_27,MD,MD
9946331979,FICTIONAL_AVERY_JOHNSON_MD,1,207Q00000X,99-5589793,IN_NETWORK,7555 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_28,VA,VA
2726446083,FICTIONAL_TAYLOR_HERNANDEZ_MD,1,207X00000X,10-7490324,TIER_2,4253 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_29,DC,DC
9234269642,FICTIONAL_HAYDEN_LOPEZ_MD,1,207Q00000X,39-7540884,TIER_1,4429 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_30,DC,DC
2529595870,FICTIONAL_MORGAN_HERNANDEZ_MD,1,207Q00000X,31-7487688,IN_NETWORK,7900 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_31,WV,WV
7472395517,FICTIONAL_DREW_WILSON_MD,1,207X00000X,94-1735524,IN_NETWORK,6266 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_32,DE,DE
7770313865,FICTIONAL_AVERY_MARTINEZ_MD,1,261Q00000X,96-2648598,IN_NETWORK,8772 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_33,VA,VA
5140292199,FICTIONAL_ALEX_JOHNSON_MD,1,2084P0800X,42-5192428,OUT_OF_NETWORK,1437 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_34,DC,DC
7661648098,FICTIONAL_ALEX_WILSON_MD,1,207X00000X,46-7481475,TIER_2,275 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_35,WV,WV
1451880359,FICTIONAL_MORGAN_JONES_MD,1,207Q00000X,38-4192013,OUT_OF_NETWORK,1061 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_36,WV,WV
8511903592,FICTIONAL_RODRIGUEZ_MEDICAL_CENTER,2,207R00000X,20-8990846,OUT_OF_NETWORK,1978 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_37,VA,VA
8517810114,FICTIONAL_JONES_MEDICAL_CENTER,2,207Q00000X,93-7660551,TIER_1,149 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_38,NC,NC
5013258756,FICTIONAL_JONES_MEDICAL_CENTER,2,261Q00000X,30-8343320,TIER_1,605 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_39,VA,VA
9444383878,FICTIONAL_JOHNSON_MEDICAL_CENTER,2,2084P0800X,23-8667831,TIER_1,811 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_0,NC,NC
0045747629,FICTIONAL_BROWN_MEDICAL_CENTER,2,207RC0000X,22-7301440,TIER_1,8089 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_1,DE,DE
3170032213,FICTIONAL_QUINN_LOPEZ_MD,1,207Q00000X,37-4547446,IN_NETWORK,1608 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_2,PA,PA
2960278366,FICTIONAL_SKYLAR_DAVIS_MD,1,207Q00000X,27-8302897,TIER_1,2312 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_3,VA,VA
7813988004,FICTIONAL_SAGE_WILLIAMS_MD,1,261Q00000X,66-6450573,IN_NETWORK,2256 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_4,DE,DE
4686563436,FICTIONAL_WILSON_MEDICAL_CENTER,2,261Q00000X,27-5370218,OUT_OF_NETWORK,7740 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_5,DC,DC
3965112782,FICTIONAL_JORDAN_BROWN_MD,1,207Q00000X,11-8483671,OUT_OF_NETWORK,9747 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_6,NC,NC
3113243026,FICTIONAL_MORGAN_GONZALEZ_MD,1,282N00000X,16-8930079,IN_NETWORK,9234 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_7,WV,WV
0246102566,FICTIONAL_WILLIAMS_MEDICAL_CENTER,2,207R00000X,85-1999764,IN_NETWORK,4164 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_8,NC,NC
2364152639,FICTIONAL_MARTINEZ_MEDICAL_CENTER,2,261Q00000X,81-4764032,IN_NETWORK,277 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_9,DC,DC
7698604882,FICTIONAL_CAMERON_LOPEZ_MD,1,207Q00000X,41-6629333,TIER_2,7572 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_10,PA,PA
1505035950,FICTIONAL_SAGE_JOHNSON_MD,1,282N00000X,25-2787941,IN_NETWORK,8964 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_11,DE,DE
9463863800,FICTIONAL_SKYLAR_MARTINEZ_MD,1,2084P0800X,41-9019130,TIER_2,3235 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_12,VA,VA
7915422506,FICTIONAL_GONZALEZ_MEDICAL_CENTER,2,207X00000X,81-6688466,TIER_2,7379 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_13,DE,DE
6646621824,FICTIONAL_HERNANDEZ_MEDICAL_CENTER,2,261Q00000X,15-7971542,OUT_OF_NETWORK,2140 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_14,VA,VA
7125615154,FICTIONAL_LOPEZ_MEDICAL_CENTER,2,2080P0203X,46-9730284,TIER_2,5223 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_15,MD,MD
2532667625,FICTIONAL_BROWN_MEDICAL_CENTER,2,261Q00000X,61-3764322,IN_NETWORK,5639 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_16,PA,PA
7076647818,FICTIONAL_TAYLOR_JONES_MD,1,2084P0800X,90-1743371,OUT_OF_NETWORK,3904 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_17,DE,DE
7798294154,FICTIONAL_JOHNSON_MEDICAL_CENTER,2,207X00000X,38-3869954,TIER_2,4669 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_18,DE,DE
1029698515,FICTIONAL_JORDAN_WILLIAMS_MD,1,207Q00000X,10-4340007,TIER_1,2872 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_19,VA,VA
3089429740,FICTIONAL_WILLIAMS_MEDICAL_CENTER,2,207Q00000X,93-2537381,TIER_1,6194 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_20,NC,NC
5984003512,FICTIONAL_HAYDEN_GARCIA_MD,1,2080P0203X,94-5741624,IN_NETWORK,1139 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_21,DE,DE
8254145369,FICTIONAL_GONZALEZ_MEDICAL_CENTER,2,2080P0203X,57-1761337,TIER_1,5996 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_22,PA,PA
9099754449,FICTIONAL_JOHNSON_MEDICAL_CENTER,2,2084P0800X,52-2096387,TIER_1,5327 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_23,WV,WV
3937869246,FICTIONAL_MORGAN_RODRIGUEZ_MD,1,207Q00000X,56-8296540,OUT_OF_NETWORK,5743 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_24,DE,DE
0715213332,FICTIONAL_GONZALEZ_MEDICAL_CENTER,2,207Q00000X,81-1909759,IN_NETWORK,728 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_25,WV,WV
6377990117,FICTIONAL_RILEY_MILLER_MD,1,2080P0203X,99-6818479,TIER_1,6411 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_26,MD,MD
1952910929,FICTIONAL_CAMERON_JONES_MD,1,207R00000X,59-6632505,TIER_1,2452 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_27,PA,PA
2045297993,FICTIONAL_RODRIGUEZ_MEDICAL_CENTER,2,207X00000X,22-4897674,IN_NETWORK,5494 FICTIONAL_MEDICAL_DR,FICTIONAL_CITY_28,MD,MD
